id,neighbourhood_group_name,neighbourhood_Name
6113,Kapiti Coast District,Ōtaki Ward 
35325,Queenstown-Lakes District,Queenstown-Wakatipu Ward
46071,Taupo District,Turangi-Tongariro Ward
48443,Horowhenua District,Kere Kere Ward
48445,Horowhenua District,Kere Kere Ward
51362,Marlborough District,Marlborough Sounds Ward
52133,Auckland,Howick Ward
54680,Tauranga City,Te Papa-Welcome Bay Ward
55332,Christchurch City,Halswell Ward
56214,Kapiti Coast District,Paekākāriki-Raumati Ward
58967,Napier City,Nelson Park Ward
63342,New Plymouth District,New Plymouth City Ward
69620,Nelson City,Area Outside Ward
84393,Timaru District,Geraldine Ward
86839,Auckland,North Shore Ward
88181,Dunedin City,Area Outside Ward
119387,Christchurch City,Central Ward
119431,Auckland,Rodney Ward
123802,Hastings District,Hastings-Havelock North Ward
124166,Waikato District,Awaroa ki Tuakau Ward
134000,Hurunui District,East Ward
135012,Auckland,Albany Ward
138448,Hastings District,Heretaunga Ward
139420,Hastings District,Mohaka Ward
144349,Lower Hutt City,Wainuiomata Ward
147996,Tauranga City,Mount Maunganui-Papamoa Ward
154119,Auckland,Waitākere Ward
154130,Auckland,Waitākere Ward
170683,Waikato District,Newcastle Ward
171321,Auckland,Albert-Eden-Puketāpapa Ward
193474,Queenstown-Lakes District,Queenstown-Wakatipu Ward
198664,Wellington City,Paekawakawa/Southern Ward
216802,Auckland,Waitematā and Gulf Ward
216846,Auckland,Waitematā and Gulf Ward
217885,Auckland,Albert-Eden-Puketāpapa Ward
238314,Christchurch City,Central Ward
243965,Auckland,Waitematā and Gulf Ward
244895,Christchurch City,Waimairi Ward
245533,Thames-Coromandel District,Coromandel-Colville Ward
247274,Tasman District,Lakes-Murchison Ward
257201,Tauranga City,Otumoetai-Pyes Pa Ward
257239,Central Otago District,Maniototo Ward
257960,Whangarei District,Whangarei Heads Ward
260719,Queenstown-Lakes District,Queenstown-Wakatipu Ward
261643,Auckland,Ōrākei Ward
263522,Auckland,Howick Ward
268669,Auckland,Manurewa-Papakura Ward
269499,Auckland,Waitematā and Gulf Ward
280605,Auckland,Waitākere Ward
289266,Tasman District,Moutere-Waimea Ward
293108,Auckland,Whau Ward
306437,Hurunui District,East Ward
319770,Christchurch City,Innes Ward
329467,Westland District,Hokitika Ward
336063,Auckland,Whau Ward
339522,Taupo District,Taupō Ward
345773,Wellington City,Wharangi/Onslow-Western Ward
346905,Palmerston North City,Area Outside Ward
359950,Marlborough District,Blenheim Ward
368177,Queenstown-Lakes District,Queenstown-Wakatipu Ward
368998,Queenstown-Lakes District,Queenstown-Wakatipu Ward
371989,Queenstown-Lakes District,Queenstown-Wakatipu Ward
388634,Lower Hutt City,Harbour Ward
388785,Auckland,Albert-Eden-Puketāpapa Ward
389512,Tasman District,Moutere-Waimea Ward
389697,Auckland,Whau Ward
391215,Wellington City,Pukehīnau/Lambton Ward
392092,Far North District,Kaikohe-Hokianga Ward
394506,Dunedin City,Area Outside Ward
395893,Dunedin City,Area Outside Ward
395932,Dunedin City,Area Outside Ward
400988,Dunedin City,Area Outside Ward
401086,Kaikoura District,Area Outside Ward
401861,Dunedin City,Area Outside Ward
401976,Dunedin City,Area Outside Ward
410588,Auckland,Franklin Ward
413505,Auckland,Waitematā and Gulf Ward
422522,Lower Hutt City,Eastern Ward
422523,Lower Hutt City,Eastern Ward
428483,Auckland,Whau Ward
436122,Queenstown-Lakes District,Queenstown-Wakatipu Ward
444594,Wellington City,Wharangi/Onslow-Western Ward
449861,Central Otago District,Cromwell Ward
452113,Auckland,Waitākere Ward
455059,Far North District,Bay of Islands-Whangaroa Ward
462082,Auckland,Waitematā and Gulf Ward
470774,Nelson City,Area Outside Ward
473916,Auckland,Waitākere Ward
483320,Thames-Coromandel District,Mercury Bay Ward
494228,Tasman District,Moutere-Waimea Ward
494233,Tasman District,Moutere-Waimea Ward
501142,Western Bay of Plenty District,Kaimai Ward
508451,New Plymouth District,New Plymouth City Ward
515599,Kapiti Coast District,Ōtaki Ward 
520343,Thames-Coromandel District,Mercury Bay Ward
524165,Tasman District,Golden Bay Ward
525762,Tasman District,Golden Bay Ward
525766,Tasman District,Golden Bay Ward
560390,Far North District,Bay of Islands-Whangaroa Ward
583852,Napier City,Ahuriri Ward
584815,Auckland,Franklin Ward
593346,Auckland,Albany Ward
596480,Tasman District,Moutere-Waimea Ward
608184,Gisborne District,Gisborne Ward
609757,Thames-Coromandel District,Coromandel-Colville Ward
616894,Lower Hutt City,Harbour Ward
641334,Waitaki District,Waihemo Ward
645341,Auckland,Albany Ward
651540,Auckland,Albany Ward
653546,Dunedin City,Area Outside Ward
662143,Porirua City,Northern Ward/Pukerua ki te Raki
667145,Dunedin City,Area Outside Ward
670011,Ruapehu District,National Park Ward
702796,Wellington City,Pukehīnau/Lambton Ward
703156,Queenstown-Lakes District,Wanaka Ward
715772,Dunedin City,Area Outside Ward
716939,Auckland,North Shore Ward
722618,Queenstown-Lakes District,Wanaka Ward
737452,Christchurch City,Banks Peninsula Ward
757893,Dunedin City,Area Outside Ward
762310,Far North District,Bay of Islands-Whangaroa Ward
762452,Auckland,North Shore Ward
764309,Waipa District,Cambridge Ward
765703,Wellington City,Pukehīnau/Lambton Ward
769832,Auckland,Ōrākei Ward
778950,Waitaki District,Corriedale Ward
788299,Queenstown-Lakes District,Wanaka Ward
791479,Nelson City,Area Outside Ward
794596,Tasman District,Golden Bay Ward
797779,Rotorua District,Area Outside Ward
801665,Hamilton City,East Ward
802799,Napier City,Ahuriri Ward
804510,Christchurch City,Riccarton Ward
811137,Auckland,Waitematā and Gulf Ward
824094,Tasman District,Motueka Ward
824663,Auckland,North Shore Ward
830958,Auckland,North Shore Ward
831080,Marlborough District,Marlborough Sounds Ward
837024,Waitaki District,Oamaru Ward
839608,Auckland,Albert-Eden-Puketāpapa Ward
848462,Tasman District,Moutere-Waimea Ward
848463,Tasman District,Moutere-Waimea Ward
860899,Wellington City,Pukehīnau/Lambton Ward
861051,Thames-Coromandel District,Mercury Bay Ward
863189,Whangarei District,Whangarei Heads Ward
863259,Queenstown-Lakes District,Queenstown-Wakatipu Ward
865869,Far North District,Bay of Islands-Whangaroa Ward
869662,Queenstown-Lakes District,Queenstown-Wakatipu Ward
873637,Rotorua District,Area Outside Ward
873699,Rotorua District,Area Outside Ward
876078,Auckland,Waitākere Ward
879038,Rotorua District,Area Outside Ward
879257,Far North District,Te Hiku Ward
